SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CN2,"C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C)NC1",22,Done,10.74,-2.48392,"grid_allosteric",0,-0.281403,-2.48392,-0.7,,-1.55139,-0.121214,0,0,0.177803,0,0,0,0,0,0,1,-0.00770777,0,-2.48392,-21.4978,-3.75204,-25.2498,0,-30.3437
c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,"C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6",23,Done,3.45,-2.83421,"grid_allosteric",0,-0.381541,-2.83421,-0.35,,-1.49973,-0.432271,0,0,0.15196,0,-0.16038,0,0,0,0,1,-0.162249,0,-2.83421,-21.4204,-5.08721,-26.5076,0,-34.5677
COc1ccc(C(C)=O)c(O)c1,"CC(=O)C1=C(C=C(C=C1)OC)O",24,Done,6.11,-3.93959,"grid_allosteric",0,-0.516492,-3.93959,-1.97984,,-0.944284,-0.5,0.00101929,0,0,0,0,0,0,0,0,1,0,0,-3.93959,-13.0406,-6.88656,-19.9271,3.89584,-23.3184
O=C(O)c1cc(O)c(O)c(O)c1,"C1=C(C=C(C(=C1O)O)O)C(=O)O",25,Done,14.5,-5.55983,"grid_allosteric",0,-0.826089,-5.55983,-3.23466,,-1.22758,-0.5,0,0,0,0.228496,0,0,0,0,0,1,0,0,-5.55983,-13.3489,-11.0145,-24.3635,1.55944,-28.7213
CCOC(=O)c1cc(O)c(O)c(O)c1,"CCOC(=O)C1=CC(=C(C(=C1)O)O)O",26,Done,7.69,-4.80392,"grid_allosteric",0,-0.520027,-4.80392,-2.64342,,-1.37227,-0.5,6.87385e-06,0,0,0.355392,0,0,0,0,0,1,-0.123603,0,-4.80392,-14.5743,-6.93369,-21.508,1.17295,-26.371
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,"CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C",27,Done,41.48,-3.40468,"grid_allosteric",0,-0.118709,-3.40468,-0.7,,-2.62796,-0.124364,0,0,0.0174796,0.148878,0,0,0,0,0,1,0,0,-3.40468,-23.3572,-1.58279,-24.94,4.17566,-27.426
CO[C@H]1C=C[C@]23c4cc5c(cc4CN(C[C@@H]2O)[C@@H]3C1)OCO5,"CO[C@@H]1C[C@@H]2[C@]3(C=C1)[C@H](CN2CC4=CC5=C(C=C34)OCO5)O",28,Done,9.02,-2.86693,"grid_allosteric",0,-0.476988,-2.86693,-1.31587,,-0.669939,-0.495543,0,0,0.341405,0,-0.25,0,0,0,0,1,0,0,-2.86693,-14.3436,-6.35984,-20.7035,0.367544,-25.5377
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,"C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O",29,Done,12.6,-3.15668,"grid_allosteric",0,-0.236787,-3.15668,-0.870917,,-1.75019,-0.5,0,0,0.195921,0.280302,-0.275,0,0,0,0,1,0,0,-3.15668,-18.1396,-3.15717,-21.2967,2.21901,-25.1702
COc1cc(O)cc(/C=C/c2ccc(O)c(OC)c2OC)c1,"COC1=CC(=CC(=C1)O)/C=C/C2=C(C(=C(C=C2)O)OC)OC",30,Done,20.29,-3.37243,"grid_allosteric",0,-0.373703,-3.37243,-1.48164,,-1.62824,-0.492261,5.92215e-09,0,0.430757,0.172654,0,0,0,0,0,1,0,0,-3.37243,-20.3332,-4.9827,-25.3159,0,-32.2632
COc1cc(O)cc(/C=C/c2cccc(O)c2OC)c1,"COC1=CC(=CC(=C1)O)/C=C/C2=C(C(=CC=C2)O)OC",31,Done,18.52,-4.14845,"grid_allosteric",0,-0.767756,-4.14845,-2.20005,,-1.0687,-0.5,1.03319e-05,0,0.180895,0.207152,0,0,0,0,0,1,0,0,-4.14845,-15.4159,-10.2367,-25.6526,1.36238,-33.0135
