	SMILES
102	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@]5(C[C@H]7[C@]4(C2=O)O7)O)COC6=O)C
103	C[C@@H](CO)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4(C2=O)O7)COC6=O)C
104	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C
105	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4(C2=O)O7)COC6=O)C
106	CC1=CC2=C(C=C1O)[C@]3(CC[C@@H](C([C@@H]3C=C2)(C)C)O)C
107	CC1=CC2=C(C=C1O)[C@]3(CC[C@@H](C(C3=CC2=O)(C)C)O)C
108	CC1=C(C2=C(C=C1)C=C(C(=C2)O)C)CCC(=O)C(C)C
109	C[C@@H](CCC[C@H](C)CCC/C(=C/CO)/C)CCCC(C)C
110	C[C@]12CC[C@@]34C[C@@]35CCC(=O)C([C@@H]5C[C@@H]([C@H]4[C@@]1(CC[C@@H]2[C@]6(CCC(=O)O6)C)C)O)(C)C
111	C[C@H](CC/C=C(/C)\C(=O)O)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CCC(=O)C5(C)C)C)C
112	C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O
113	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@@H]6[C@]7(CC[C@@H](C([C@@H]7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO[C@@H]9[C@H]([C@@H]([C@@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)(C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
114	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]34CC[C@@]5(C(=CC[C@H]6[C@]5(CC[C@@H]7[C@@]6(CC[C@@H](C7(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)C)[C@@H]3CC(CC4)(C)C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
115	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@@H]6[C@]7(CC[C@@H](C([C@@H]7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@@H]9[C@H]([C@@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)(C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/CO)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
116	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)[C@]34CCC(C[C@H]3C5=CC[C@@H]6[C@]7(CC[C@@H](C([C@@H]7CC[C@]6([C@@]5(C[C@H]4O)C)C)(C)C)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)(C)C)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)O)O)OC(=O)/C(=C/CCC(C)(C=C)O)/CO)OC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)O
117	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]34CC[C@@]5(C(=CC[C@H]6[C@]5(CC[C@@H]7[C@@]6(CC[C@@H](C7(C)C)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO[C@H]9[C@@H]([C@@H]([C@@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)C)[C@@H]3CC(CC4)(C)C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)O)OC(=O)/C(=C/CC[C@@](C)(C=C)O)/CO)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
118	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]34CC[C@@]5(C(=CC[C@H]6[C@]5(CC[C@@H]7[C@@]6(CC[C@@H](C7(C)C)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO[C@@H]9[C@@H]([C@@H]([C@@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)C)C)[C@@H]3CC(CC4)(C)C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O[C@@H]1[C@H]([C@H]([C@@H](CO1)O)O)OC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)/C)O)OC(=O)/C(=C/CC[C@@](C)(C=C)O)/C)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
119	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC(=O)[C@@]34CC[C@@]5(C(=CC[C@H]6[C@]5(CC[C@@H]7[C@@]6(CC[C@@H](C7(C)C)O[C@]8([C@@H]([C@H]([C@@H]([C@H](O8)CO[C@H]9[C@@H]([C@H]([C@H](CO9)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O)O)O)C)C)[C@@H]3CC(CC4)(C)C)C)COC(=O)/C(=C/CC[C@@](C)(C=C)O)/CO)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
120	C1=CC(=CC=C1[C@H]2[C@@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O
121	COC1=CC(=CC2=C1C(=O)C(=C(O2)C3=C(C=C(C=C3)O)OC)O)O
122	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
123	COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)OC)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O
124	C[C@]12CC[C@H]3[C@H]([C@]1(CC[C@@H]2C4=CC(=O)OC4)O)CC[C@]5([C@@]3(CC[C@@H](C5)O)C=O)O
125	CC1=CC(=O)C2(O1)C(OC3=C2C(=O)OC(=C3)/C=C/C4=CC(=C(C=C4)O)O)C5=CC(=C(C=C5)O)O
126	CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OCC)O
127	CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)OC)O
128	COC(=O)C1=C(C=C(OC1=O)/C=C/C2=CC(=C(C=C2)O)O)O
129	CC(=O)/C=C(/C=C\C1=CC(=C(C=C1)O)O)\O
